step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J10_stopped,J10_accumulated_waiting_time,J10_average_speed,J13_stopped,J13_accumulated_waiting_time,J13_average_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,J4_stopped,J4_accumulated_waiting_time,J4_average_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,J6_stopped,J6_accumulated_waiting_time,J6_average_speed,J7_stopped,J7_accumulated_waiting_time,J7_average_speed,J8_stopped,J8_accumulated_waiting_time,J8_average_speed,J9_stopped,J9_accumulated_waiting_time,J9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,4.423714146018028,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4449198434168487,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.40284058075833307,1,0.0,0.0,0,0.0,0.31061657435793194,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
10.0,1,0.0,0.0,7.706218041793063,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9289591975703642,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6618429389071103,1,0.0,0.4242352334367571,0,0.0,0.955754571154946,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
15.0,1,0.0,0.0,8.133019483315671,0,0.0,1.0,0,0.0,0.9971072525478613,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.504614875932893,0,0.0,0.2676034403441502,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
20.0,1,0.0,0.0,8.490094823953346,0,0.0,0.7227383406488903,0,0.0,0.8436086804584406,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7112118025654914,0,0.0,0.6018145196682422,0,0.0,0.935730734427613,0,0.0,0.648758805276068,1,0.0,0.450513010710665,0,0.0,0.5671160474043623,0,0.0,0.6278376599922483,0,0.0,0.5379525165015372,1,0.0
25.0,4,6.0,0.2608695652173913,8.162121723040219,0,0.0,0.7137236464925218,1,3.0,0.00014750275109031918,0,0.0,1.0,0,0.0,0.6249297277392044,0,0.0,1.0,0,0.0,0.9397158374040387,1,0.0,0.49135380598335787,1,3.0,0.2440422265705933,0,0.0,0.71438300374034,0,0.0,0.9692947871137282,0,0.0,0.5961032597085024,1,0.0,0.6158150244774,4,6.0
30.0,3,10.0,0.35714285714285715,7.71817406252894,0,0.0,0.5934811553949731,1,0.0,0.49217750320857634,0,0.0,1.0,0,0.0,0.44308031273681675,0,2.0,0.6940064275442125,0,0.0,0.7974890993496416,0,0.0,0.8742492805764808,1,8.0,0.5125681079645088,0,0.0,0.4556099145036258,0,0.0,0.5813911647048309,1,2.0,0.002657799854575191,0,0.0,0.6028732226174204,3,12.0
35.0,7,32.0,0.9696969696969697,6.303123844680549,0,0.0,0.39775794533229586,0,0.0,0.4862537423947687,0,0.0,0.9441116263332268,1,0.0,0.0,0,2.0,0.7204450144817435,0,0.0,0.8296174373107469,0,0.0,0.3982044762809044,2,14.0,0.2062039185460069,2,7.0,0.27541909242023116,0,0.0,0.5969722531270136,1,7.0,0.2979329856174703,1,4.0,0.46688051442728756,7,34.0
40.0,11,40.0,1.0526315789473684,5.134143804357171,1,3.0,0.3434706025641389,1,5.0,0.3639313816725644,0,2.0,0.3545817505086244,0,0.0,0.8458262727685695,0,0.0,0.4881904000189213,1,3.0,0.3776966315373772,0,0.0,0.6405874875282609,0,0.0,0.24500454077024117,0,0.0,0.2638928559582998,1,2.0,0.00020362524274657675,1,12.0,0.16835570740506756,3,12.0,0.30551803551929785,8,39.0
45.0,9,46.0,1.069767441860465,7.150502066865385,1,10.0,0.44916870413100335,0,0.0,0.9088821147461946,0,2.0,0.9169071369609726,0,0.0,0.5059606685226066,2,10.0,0.46042114088546127,0,3.0,0.4896404974515876,1,1.0,0.5406706131510212,2,5.0,0.5817298578404799,0,0.0,0.6271597929234481,1,8.0,0.40313508983520463,2,20.0,0.26961609129527647,0,0.0,0.627120146005522,9,59.0
50.0,8,37.0,0.7872340425531915,7.230497185557972,2,18.0,0.3991674792759794,0,0.0,0.9471739960514183,1,3.0,0.5020857773786828,0,5.0,0.9507501784316228,0,4.0,0.38649495389962807,1,6.0,0.4651338740727051,1,8.0,0.6322278321270607,0,0.0,0.5855259988825241,0,2.0,0.936334158130371,2,13.0,0.3085321492721079,0,0.0,0.5374694338864824,0,0.0,0.33478631544262444,7,59.0
