step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J10_stopped,J10_accumulated_waiting_time,J10_average_speed,J13_stopped,J13_accumulated_waiting_time,J13_average_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,J4_stopped,J4_accumulated_waiting_time,J4_average_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,J6_stopped,J6_accumulated_waiting_time,J6_average_speed,J7_stopped,J7_accumulated_waiting_time,J7_average_speed,J8_stopped,J8_accumulated_waiting_time,J8_average_speed,J9_stopped,J9_accumulated_waiting_time,J9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,4.217178596048616,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4064883539205575,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4336826194856407,1,0.0,0.0,0,0.0,0.3008278719934863,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
10.0,1,0.0,0.0,7.1934311253398535,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6317528164279697,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7354861461228608,1,0.0,0.3802035137349689,0,0.0,0.9198017595796323,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
15.0,4,5.0,0.3333333333333333,6.12252428394893,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0012462446423418276,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,2,3.0,0.0026064104527225725,0,0.0,0.44468062509348616,0,0.0,0.2526819501395861,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,4,5.0
20.0,2,7.0,0.35,7.573952562276053,0,0.0,0.4489930179601795,0,0.0,1.0,1,7.0,0.0,0,0.0,1.0,0,0.0,0.7000771566545947,0,0.0,0.3013533865214253,0,0.0,0.9671736128242642,0,0.0,0.6465736151485004,1,0.0,0.46990114215653506,0,0.0,0.5987013337126805,0,0.0,0.6492761028007727,0,0.0,0.43986898289819076,2,7.0
25.0,4,17.0,0.7083333333333334,7.187027520898629,0,0.0,0.7109274975567167,0,2.0,0.9596645317953845,1,12.0,0.0,0,0.0,0.5967859698681544,0,0.0,0.9198017595796323,0,2.0,0.9252641834684485,2,1.0,0.0027118021740052817,1,4.0,0.15787451328445232,0,0.0,0.4035819234253886,0,0.0,1.0,0,0.0,0.7297562266402775,0,0.0,0.5373067791187858,4,21.0
30.0,2,6.0,0.20689655172413793,6.712858685127075,0,0.0,0.6710209539527905,1,2.0,0.3207071636541468,0,0.0,1.0,0,0.0,1.0,0,0.0,0.20585707265094824,0,2.0,0.489744895656549,1,6.0,0.5453333801409298,0,3.0,0.5844797017183392,0,0.0,0.24385607590172387,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6759623104687268,2,13.0
35.0,6,16.0,0.48484848484848486,7.287065894451821,0,0.0,0.438568466027526,0,0.0,0.5299013056790184,0,0.0,0.6996372277652124,1,0.0,0.0,1,6.0,0.5169005620659706,2,9.0,0.09204529038554403,0,2.0,0.5932876987826793,0,2.0,0.6260182517164824,1,4.0,0.625306209077052,0,0.0,1.0,0,0.0,0.5145407051516712,1,1.0,0.3881854774702696,6,24.0
40.0,9,46.0,1.2432432432432432,6.031636866388881,1,3.0,0.28944767664413473,0,0.0,1.0,0,0.0,0.928085977278821,0,0.0,0.599467328727935,2,12.0,0.5538025985948531,3,24.0,0.3359235269554865,1,4.0,0.3892255587349989,0,0.0,0.08980173858516172,1,9.0,0.3193291011309761,0,0.0,1.0,0,0.0,0.43270229131378823,1,0.0,0.0,9,52.0
45.0,5,27.0,0.6585365853658537,7.224617533277632,0,2.0,0.6117284820908442,0,0.0,0.8305051401739357,0,0.0,0.4288681355618718,0,1.0,0.9677089367007368,0,0.0,0.28473816200531477,0,14.0,0.43331826373922455,0,0.0,0.5672511270792449,1,4.0,0.43565094008878286,4,23.0,0.16897367674851607,0,0.0,1.0,0,0.0,0.5236799019990448,0,2.0,0.5339189439309733,5,46.0
50.0,4,15.0,0.3333333333333333,7.834902364795586,0,2.0,0.39660103930773055,0,2.0,0.8042526440303636,0,2.0,0.6725507041824481,0,1.0,0.4948145750157198,1,5.0,0.4940622388016873,0,0.0,0.6885954157450009,0,0.0,0.7138804560440773,1,9.0,0.3943205304494019,0,5.0,0.20968910614177208,1,4.0,0.6293013488723548,0,0.0,0.4339266970684808,0,2.0,0.8389067871135654,3,32.0
55.0,9,31.0,0.6458333333333334,6.948876945340305,2,10.0,0.468709438962721,1,3.0,0.3232908407478895,1,3.0,0.4626264585621814,1,4.0,4.729840049758159e-05,0,0.0,0.6767630167308006,1,0.0,0.445391223839441,0,0.0,0.45293432208627116,2,21.0,0.5850858612966687,0,0.0,1.0,0,2.0,0.42981307526232543,0,0.0,0.6920694968657656,1,0.0,0.5371176494837985,9,43.0
60.0,8,47.0,0.9215686274509803,6.0693159585603,0,2.0,0.2551105718666486,1,0.0,0.3389740779249788,0,2.0,0.017836781767659227,1,11.0,0.4010444118442115,0,1.0,0.5610905446504982,0,5.0,0.5512701363123607,1,5.0,0.5505645417482139,3,34.0,0.46038598961104543,0,0.0,1.0,0,0.0,0.7577046221733549,1,3.0,0.43722792768824803,0,0.0,0.3722418321096452,7,63.0
65.0,14,71.0,1.290909090909091,6.016714429779083,1,6.0,0.27934722651795607,1,3.0,0.36614265983808464,1,6.0,2.6322832553025862e-05,1,2.0,0.3108421519319312,0,1.0,0.649194059652852,2,8.0,0.42945739225986973,1,0.0,0.37974630033004353,7,60.0,0.28284680857418637,0,0.0,1.0,0,0.0,0.6118114956035898,0,1.0,0.8326663271685492,0,5.0,0.36465174198487943,14,92.0
70.0,10,33.0,0.559322033898305,5.7288370401381705,1,2.0,0.23179019737161285,0,0.0,0.3304640577299762,1,13.0,0.45491473852856895,1,6.0,0.5021512027854639,1,4.0,0.007442429642528894,1,11.0,0.35921148740583486,1,5.0,0.49946527844508865,2,26.0,0.25385524258429537,0,10.0,0.6288896493926603,0,0.0,0.8316714740723061,0,0.0,1.0,2,7.0,0.2958095501299511,10,84.0
75.0,10,37.0,0.6065573770491803,6.643656257920113,2,5.0,0.385711701067441,0,0.0,1.0,0,0.0,0.9804785046101976,0,0.0,0.4062140023821385,0,0.0,1.0,2,11.0,0.09924707656475164,0,6.0,0.6265000521080895,3,15.0,0.2501093700807259,0,6.0,0.7806941643438199,0,0.0,0.31899569610990613,0,2.0,0.9438593131632428,3,16.0,0.3908387328043432,10,61.0
80.0,12,65.0,1.0833333333333333,6.157419495234838,0,0.0,0.4628738132816357,0,0.0,1.0,0,2.0,0.9199605506378569,2,6.0,0.0005465756531889537,0,4.0,0.6302535229865945,2,22.0,0.44657575268189564,2,4.0,0.2924839042790487,2,13.0,0.18310726418967407,1,6.0,0.4639285298100691,0,1.0,0.22432150564551737,0,2.0,0.8258630037042741,3,31.0,0.31602876840758914,12,91.0
85.0,22,148.0,2.5084745762711864,5.213648857366724,0,2.0,0.664536579501654,0,0.0,1.0,0,0.0,0.6887661560897869,2,18.0,0.12947595114273538,0,0.0,0.9302513744879193,3,33.0,0.217015387269408,2,4.0,0.42155565684199636,4,31.0,0.19785221919068338,4,23.0,0.2922589880936682,1,4.0,0.4591605711406598,0,1.0,0.6731405469653695,6,58.0,0.10543376967698166,22,174.0
90.0,15,95.0,1.507936507936508,5.513691992115072,0,2.0,0.9434425183114092,0,0.0,1.0,1,3.0,0.36322429484079216,0,4.0,0.8599479212313076,1,1.0,0.003316769882213644,0,5.0,0.27426280959578936,0,2.0,0.6932081560441641,5,53.0,0.15216169710374414,5,46.0,0.35980771513388826,1,9.0,0.5965783420813365,1,3.0,0.5624892704288699,0,28.0,0.19854376470960655,14,156.0
95.0,18,84.0,1.3125,5.941751305064265,1,4.0,0.37969940571914185,0,0.0,1.0,3,12.0,0.3387078014349907,0,2.0,0.6077686113096132,1,6.0,0.0,0,0.0,0.7957580975396864,0,0.0,0.5274711762479481,0,28.0,0.5576333983593721,8,76.0,0.21754395230168797,1,1.0,0.3126059360483043,2,9.0,0.1553225912269486,1,6.0,0.6067912922963886,17,144.0
100.0,9,28.0,0.4444444444444444,6.232796016501171,2,10.0,0.4011375181709256,0,0.0,0.653800651951811,0,11.0,0.4519885142545649,1,9.0,0.3277668599615338,1,13.0,0.23417846287294486,0,5.0,0.640423197974161,0,1.0,0.9642840928971823,0,0.0,0.3198130309055352,2,48.0,0.3423391099207697,1,8.0,0.38610765701691374,1,4.0,0.5870822152115137,0,0.0,0.3337685806424233,8,109.0
