step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J10_stopped,J10_accumulated_waiting_time,J10_average_speed,J13_stopped,J13_accumulated_waiting_time,J13_average_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,J4_stopped,J4_accumulated_waiting_time,J4_average_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,J6_stopped,J6_accumulated_waiting_time,J6_average_speed,J7_stopped,J7_accumulated_waiting_time,J7_average_speed,J8_stopped,J8_accumulated_waiting_time,J8_average_speed,J9_stopped,J9_accumulated_waiting_time,J9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,3.5449645754136143,0,0.0,1.0,0,0.0,1.0,0,0.0,0.33690581998435276,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3033896069703673,1,0.0,0.0,0,0.0,0.2665571415155513,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
10.0,1,0.0,0.0,6.881595723191069,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7097011917024658,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7298920070165372,1,0.0,0.3449672979452023,0,0.0,0.9221131522219508,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
15.0,3,3.0,0.2,5.427790667259236,0,0.0,1.0,0,0.0,1.0,1,2.0,0.00025129073924176425,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3024258233861705,1,1.0,0.14576914842330826,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,3.0
20.0,4,17.0,0.85,6.748351760060781,0,0.0,0.560873793792493,0,0.0,0.9469998246936542,1,7.0,0.0,0,0.0,1.0,0,0.0,0.6485851422592496,0,0.0,0.6292634884654266,0,0.0,1.0,1,4.0,0.525753098839955,2,6.0,0.3005188682399608,0,0.0,0.23557787838480146,0,0.0,1.0,0,0.0,0.37554449128025696,4,17.0
25.0,2,1.0,0.043478260869565216,7.863191515387351,0,0.0,0.7277821838008093,0,0.0,0.7215626683092361,0,0.0,1.0,0,0.0,0.5481716120289064,0,0.0,1.0,0,0.0,0.920661575919049,1,0.0,0.47664393299511315,1,3.0,0.2299731826610744,0,0.0,0.6011005270842441,0,0.0,0.9367240960921445,0,0.0,0.9395245209738581,0,0.0,0.888470759015828,2,3.0
30.0,4,11.0,0.3793103448275862,7.209751394007747,0,0.0,0.5488056845762191,2,2.0,0.3179817824164857,0,0.0,1.0,0,0.0,0.988696384225576,0,0.0,1.0,0,0.0,0.6053743167908552,0,2.0,0.7677092594631969,2,9.0,0.5076773076672161,0,0.0,0.49842435119807527,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4467347457970732,4,13.0
35.0,1,0.0,0.0,6.987543115175307,0,0.0,0.7229566649606923,0,0.0,0.3021416324596447,0,0.0,0.6106461842609301,1,0.0,0.0,0,4.0,0.5254120766001119,0,0.0,0.7825540919165911,0,2.0,0.37728723330192365,0,0.0,0.19616430518492028,0,0.0,0.7495621262655879,0,0.0,0.9855467057696412,0,0.0,0.7041439389063803,0,0.0,0.802665306411761,1,6.0
40.0,8,27.0,0.7105263157894737,7.210235784091205,0,0.0,0.8096231812645901,1,5.0,9.832436172096842e-06,0,0.0,0.4965996457242716,0,0.0,0.6233085565557543,0,4.0,0.7925585516704149,2,3.0,0.4962008882487365,1,7.0,0.5437124353367397,3,14.0,0.1966617242757573,0,2.0,0.9456558421869332,0,0.0,0.47020414059889604,0,0.0,0.5831363137350225,1,0.0,0.3615200573854128,8,35.0
45.0,5,4.0,0.0975609756097561,6.465708659209044,0,0.0,0.2714789669033018,0,0.0,0.7524271301772115,1,1.0,0.0028782134171693053,0,0.0,0.2840157935327241,1,4.0,0.2418463216749099,0,0.0,0.007139051457363858,0,0.0,0.7010940080390722,1,0.0,0.46876678361140645,0,2.0,0.5676402491181444,0,0.0,1.0,1,0.0,0.46587262636196325,0,0.0,0.7428964014076516,4,7.0
50.0,9,34.0,0.7391304347826086,7.820532540805397,0,0.0,0.6375993524662934,0,0.0,0.9384730655047079,1,6.0,1.3556071390901458e-05,0,1.0,0.8749985903241516,1,14.0,0.6276204837507453,1,7.0,0.5868510295323647,1,4.0,0.6585639587133703,2,5.0,0.5044577498602338,1,7.0,0.4878607738675183,1,4.0,0.22217427105794318,0,0.0,0.6828875489415647,0,2.0,0.6295252274198377,8,50.0
