step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J10_stopped,J10_accumulated_waiting_time,J10_average_speed,J13_stopped,J13_accumulated_waiting_time,J13_average_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,J4_stopped,J4_accumulated_waiting_time,J4_average_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,J6_stopped,J6_accumulated_waiting_time,J6_average_speed,J7_stopped,J7_accumulated_waiting_time,J7_average_speed,J8_stopped,J8_accumulated_waiting_time,J8_average_speed,J9_stopped,J9_accumulated_waiting_time,J9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,3.1004764247033747,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4351181632376446,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.2626989883480349,1,0.0,0.0,0,0.0,0.21120693057625492,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
10.0,1,0.0,0.0,6.360006987090329,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9162229977941618,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6266811481419226,1,0.0,0.22919288514582578,0,0.0,0.8009588397066713,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
15.0,2,1.0,0.06666666666666667,6.378204670752797,0,0.0,1.0,0,0.0,0.9481011249277097,1,1.0,0.008185950417977136,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.30227282778470954,0,0.0,0.15427997845984437,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,1.0
20.0,4,12.0,0.6,6.721999278487542,0,0.0,0.6199926749518895,0,0.0,0.7557083356742866,1,6.0,0.0,0,0.0,1.0,0,0.0,0.5000464410830101,0,0.0,0.6007920203479682,0,0.0,1.0,1,2.0,0.5294985390967383,2,4.0,0.29103789552107306,0,0.0,0.33022861810313386,0,0.0,0.5313602309657366,0,0.0,0.3318538721075265,4,12.0
25.0,1,0.0,0.0,8.551239860107296,0,0.0,0.7935431193553334,0,0.0,1.0,0,0.0,1.0,0,0.0,0.43414792883766407,0,0.0,0.6322877926152001,0,0.0,0.8604351395299704,1,0.0,0.45292679023450877,0,2.0,0.24620478311741384,0,0.0,0.5929222828808967,0,0.0,0.9496146738463405,0,0.0,0.9628909864652978,0,0.0,0.9492005951003812,1,2.0
30.0,3,8.0,0.27586206896551724,7.465114697276504,0,0.0,0.47471930865700374,1,0.0,0.4800724412979232,0,0.0,1.0,0,0.0,0.9221091956521787,0,0.0,0.5796595082247856,0,0.0,0.412707077998999,0,2.0,0.7595568589824334,2,8.0,0.45078553346873296,0,0.0,0.41230723990246176,0,0.0,0.4311341385735058,0,0.0,1.0,0,0.0,0.5149087587636213,3,10.0
35.0,3,2.0,0.058823529411764705,7.998263675997032,0,0.0,0.5569460211544661,0,0.0,0.7418265985337023,0,1.0,0.5714670512326232,1,0.0,0.0,0,0.0,0.7047798741402082,0,0.0,0.9544405463890359,1,3.0,0.5182969172249261,1,1.0,0.3182265003173082,0,0.0,0.8613574515866272,0,0.0,0.9384870230379051,0,0.0,0.5402095348543181,0,0.0,0.8204922103569574,3,5.0
40.0,5,20.0,0.5555555555555556,7.48832461383628,0,0.0,0.9417450471854334,0,0.0,1.0,0,1.0,0.7495106390464483,0,0.0,0.9705334056269803,0,2.0,0.6080659187350591,0,0.0,0.3624718617895708,1,8.0,0.44543260069242635,3,14.0,0.4105708219557657,0,2.0,0.9412640160046672,0,0.0,1.0,0,0.0,0.556377789949946,1,0.0,0.35974363379165053,5,27.0
45.0,3,2.0,0.05,7.177807103839203,0,0.0,0.3073880483499737,0,0.0,0.817227283438921,1,2.0,0.005889032444255056,0,0.0,1.0,0,2.0,0.2619899888963728,0,0.0,0.9221378118074908,0,0.0,0.7263823812224084,1,0.0,0.4748365442481176,0,2.0,0.2974369946826538,0,0.0,1.0,0,0.0,0.6205066476142301,0,0.0,0.7628276114404102,2,6.0
50.0,7,20.0,0.4444444444444444,7.669391440710905,0,0.0,0.5608927792961219,0,2.0,0.9419048383265487,1,7.0,0.6435425848259754,0,0.0,0.9471032726180979,1,10.0,0.6926886803267047,0,2.0,0.5504819182829531,1,2.0,0.603085509346173,2,5.0,0.3620891331937472,1,6.0,0.462864379859063,1,0.0,0.0,0,0.0,0.5835100356485882,0,1.0,0.6005506595972874,7,35.0
