step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J10_stopped,J10_accumulated_waiting_time,J10_average_speed,J13_stopped,J13_accumulated_waiting_time,J13_average_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,J4_stopped,J4_accumulated_waiting_time,J4_average_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,J6_stopped,J6_accumulated_waiting_time,J6_average_speed,J7_stopped,J7_accumulated_waiting_time,J7_average_speed,J8_stopped,J8_accumulated_waiting_time,J8_average_speed,J9_stopped,J9_accumulated_waiting_time,J9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,3.746679467903449,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3915349017432905,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3038157818513234,1,0.0,0.0,0,0.0,0.27385759679716987,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
10.0,1,0.0,0.0,7.085301052962154,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8209725477572681,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6024325287997037,1,0.0,0.3206226121081139,0,0.0,0.7994607190693902,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
15.0,3,5.0,0.3333333333333333,6.300034903494807,0,0.0,1.0,0,0.0,0.9393806413114381,1,3.0,0.00034064407170858143,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.32245108878697043,1,2.0,0.16561581321975827,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,5.0
20.0,4,19.0,0.95,6.843303690042805,0,0.0,0.5328745659056205,0,0.0,0.5300235526097539,1,8.0,0.0,0,0.0,1.0,0,0.0,0.5840556701347573,0,1.0,0.5852062995175693,0,0.0,1.0,1,4.0,0.5391416011109302,2,7.0,0.3137958543929725,0,0.0,0.5116111717233698,0,0.0,0.5474674766118827,0,0.0,0.3637564326910831,4,20.0
25.0,2,1.0,0.043478260869565216,8.513477136319338,0,0.0,0.8346134571535037,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5142277846436634,0,0.0,0.7425261445110729,0,0.0,0.827886633423888,1,0.0,0.4465480633104125,1,3.0,0.22033612124378,0,0.0,0.6319427012230019,0,0.0,0.8967502877181138,0,0.0,0.9420510774374662,0,0.0,0.8940035471106013,2,3.0
30.0,3,9.0,0.3103448275862069,7.971560037611248,0,0.0,0.45831930481470207,1,0.0,0.4157913938162521,0,0.0,1.0,0,0.0,0.9190453398256233,0,0.0,0.5993479033737531,0,0.0,0.6735039318429858,0,2.0,0.8118893492762611,2,9.0,0.4558661366830994,0,0.0,0.40570282030186544,0,0.0,0.47460803056620476,0,0.0,1.0,0,0.0,0.4882085393593259,3,11.0
35.0,5,21.0,0.6176470588235294,8.750504402606431,0,0.0,0.5669524388812183,0,0.0,0.7171638956945984,0,1.0,0.557088502318064,1,0.0,0.0,0,0.0,0.649357244897872,0,0.0,0.7504574914641164,1,3.0,0.5736678192236161,2,19.0,0.4047981745730723,0,0.0,0.8569471504478283,0,0.0,0.9717199154810705,0,0.0,0.4955324970297295,0,0.0,0.9427047786315688,4,23.0
40.0,6,40.0,1.1111111111111112,7.332552999663134,0,0.0,0.8736427102793329,0,0.0,0.34719966307339484,0,1.0,0.687726022556154,0,2.0,0.5789204745085813,1,1.0,0.6235173864053408,1,4.0,0.41575202734296646,1,8.0,0.352224245904748,2,29.0,0.24151066017953057,0,0.0,0.9129795517679622,0,0.0,1.0,0,0.0,0.5404693316294327,1,0.0,0.41617863870470095,6,45.0
45.0,3,3.0,0.075,7.688019176380183,0,0.0,0.661817197423227,0,0.0,0.9298213250248529,1,3.0,0.45739877389813166,0,2.0,0.7453449078784341,1,1.0,0.2588556229184848,0,0.0,0.9018492838526887,0,0.0,0.6109280638506186,1,2.0,0.5279906836435714,0,0.0,0.5965462567562038,0,0.0,1.0,0,0.0,0.5015181505614833,0,0.0,0.5878824733546827,3,8.0
50.0,7,18.0,0.4,8.264352445040807,0,0.0,0.5988348002750687,0,2.0,0.9242025018179739,1,8.0,0.47385293659137,0,3.0,0.47527186806129074,2,9.0,0.525083618979091,1,3.0,0.622438221676323,1,1.0,0.5485603970932699,1,3.0,0.5194912044489427,0,2.0,0.8280749864058706,1,2.0,0.22162195099694898,0,0.0,0.4745501332989989,0,0.0,0.614132750396014,7,33.0
