step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J10_stopped,J10_accumulated_waiting_time,J10_average_speed,J13_stopped,J13_accumulated_waiting_time,J13_average_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,J4_stopped,J4_accumulated_waiting_time,J4_average_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,J6_stopped,J6_accumulated_waiting_time,J6_average_speed,J7_stopped,J7_accumulated_waiting_time,J7_average_speed,J8_stopped,J8_accumulated_waiting_time,J8_average_speed,J9_stopped,J9_accumulated_waiting_time,J9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,3.495024259169586,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4159454155321874,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3386315945980607,1,0.0,0.0,0,0.0,0.180139586463937,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
10.0,1,0.0,0.0,6.8920958522637275,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9679679192262749,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7835084199113673,1,0.0,0.24943624904714323,0,0.0,0.7118689445239794,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
15.0,3,3.0,0.2,5.803280714911919,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.2953846269548149,1,1.0,0.15376863813828676,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,3.0
20.0,4,17.0,0.85,6.834827682466201,0,0.0,0.3957721523674056,0,0.0,0.9287269934359417,1,7.0,0.0,0,0.0,1.0,0,0.0,0.7112125371261107,0,0.0,0.6181926047557619,0,0.0,0.9228602855542148,1,4.0,0.5774487866198159,2,6.0,0.2990231389101378,0,0.0,0.5209356507556043,0,0.0,1.0,0,0.0,0.36462728088664925,4,17.0
25.0,2,12.0,0.5217391304347826,7.708969716097991,0,0.0,0.6157006058767176,0,0.0,1.0,1,12.0,0.0,0,0.0,0.5188290006419322,0,0.0,1.0,0,0.0,0.9457768267768741,1,0.0,0.3451375470010979,0,2.0,0.30820196080635354,0,0.0,0.7273580282043637,0,0.0,0.9150668669014806,0,0.0,0.9756072575110587,0,0.0,0.9231065739382487,2,14.0
30.0,3,7.0,0.2413793103448276,7.823824191548634,0,0.0,0.5351653583014461,1,0.0,0.4893147153361961,0,0.0,1.0,0,0.0,0.915811894384801,0,0.0,0.8967346409539342,0,0.0,0.6050010608520792,0,2.0,0.7076791931568809,2,7.0,0.507043578970076,0,0.0,0.4379727410890671,0,0.0,0.5689868708067352,0,0.0,1.0,0,0.0,0.5234453632392293,3,9.0
35.0,3,2.0,0.058823529411764705,7.608140518456101,0,0.0,0.49692007153002415,0,0.0,0.3659086064940396,0,1.0,0.5675119228739124,1,0.0,0.0,0,2.0,0.70208751510342,0,0.0,0.7314805120621243,1,3.0,0.31974214487799585,1,1.0,0.3711443153025267,0,0.0,0.7499816556351582,0,0.0,0.7534685823378374,0,0.0,0.5705711844708447,0,0.0,0.8548112900318201,3,7.0
40.0,9,29.0,0.7837837837837838,6.907475329001418,1,3.0,0.5490691016505266,1,4.0,0.31888266045883573,0,1.0,0.6973031387767306,0,0.0,0.830464837721098,1,3.0,0.6305056209365207,1,3.0,0.3561922466995789,1,8.0,0.3731572696018786,2,10.0,0.5097060640184937,0,2.0,0.955236848914285,1,2.0,0.0,0,0.0,0.469497434182719,1,0.0,0.0,9,36.0
45.0,5,7.0,0.175,6.356382081794107,0,0.0,0.2554010835053385,0,0.0,0.6948581195149928,1,4.0,0.0,0,0.0,0.5256714727617776,1,3.0,0.23739420538884767,0,0.0,0.5595063204172303,0,0.0,0.5688779314408662,1,0.0,0.4492679697247627,1,3.0,0.3460583966761996,0,0.0,1.0,0,2.0,0.6608279993933635,0,0.0,0.6321809275311159,4,12.0
50.0,9,31.0,0.7045454545454546,7.920579531962034,1,3.0,0.4082511819360693,0,2.0,0.9709466617292135,0,0.0,0.9546772798593633,1,3.0,3.219659118826205e-05,1,11.0,0.6122935630261082,1,7.0,0.48281626921343224,1,3.0,0.6002816916666126,2,7.0,0.408734732470245,1,8.0,0.14549257519751677,0,3.0,0.6193287717964213,1,2.0,0.5054502136698698,0,4.0,0.7211374229037029,9,53.0
55.0,6,22.0,0.4489795918367347,6.454397363688171,1,8.0,0.34728404205728086,0,0.0,0.38477140944168653,0,0.0,0.06822199792497229,0,6.0,0.942005494005953,3,18.0,0.25038476220730593,2,3.0,0.3458570762398713,0,2.0,0.5047677512739895,0,5.0,0.4451135689279016,0,2.0,0.3455041382036247,0,3.0,0.5997367393380939,0,0.0,0.7316446245762369,0,0.0,0.6621095575508689,6,47.0
60.0,7,20.0,0.38461538461538464,7.726846344884001,0,2.0,0.7517295209562755,1,2.0,0.6545669002121873,0,2.0,0.9510201842317938,0,4.0,0.10970117383046349,0,9.0,0.4222900954245186,1,8.0,0.5107250144526554,2,5.0,0.4427329928894682,2,9.0,0.49419122552186606,0,2.0,0.7190907921405787,0,2.0,0.6509096220097201,1,1.0,0.5689322484878837,0,0.0,0.8433180269548205,7,46.0
65.0,5,9.0,0.16981132075471697,7.416915177209046,1,3.0,0.5259483313790853,0,4.0,0.4487346168255428,0,3.0,0.29563895828521547,0,0.0,0.564632399367085,0,0.0,0.0918900058191517,0,0.0,0.38429319903639503,1,2.0,0.43762020203630675,0,0.0,0.7577794069549196,0,2.0,0.5496528592158367,1,4.0,0.31614085137352765,0,0.0,0.6655097306229437,0,2.0,0.9000779294389128,3,20.0
70.0,8,25.0,0.45454545454545453,7.194583725049751,1,2.0,0.2925145786550231,1,9.0,0.42359293898012335,0,1.0,0.8693149852877651,0,0.0,0.7161366644945518,0,0.0,1.0,1,4.0,0.3013086796968746,1,8.0,0.6229536874378594,2,8.0,0.23039470334377168,2,17.0,0.5391258617889062,0,4.0,0.5552710917487006,0,0.0,0.9380504514860343,0,2.0,0.658442500193164,8,55.0
75.0,6,17.0,0.30357142857142855,7.384269385319848,2,4.0,0.4380867010862536,1,12.0,0.49553413265237345,0,0.0,0.8359045196899505,0,2.0,0.572356025662569,0,0.0,1.0,0,5.0,0.6708246062504122,0,2.0,0.5080521203738378,0,5.0,0.4196222267675923,0,19.0,0.4183493439866212,1,3.0,0.3831198949741637,0,0.0,0.9382237238215185,1,4.0,0.44940455554647785,5,56.0
80.0,11,29.0,0.5370370370370371,7.1846840958854505,0,2.0,0.6896984805995383,0,0.0,1.0,1,0.0,0.5956026191058568,1,6.0,0.5033453928105235,0,2.0,0.566928663815278,2,10.0,0.3944491851066112,2,9.0,0.5580207505915767,2,8.0,0.5754329210061042,1,6.0,0.6166451642339257,0,0.0,0.4645350980832667,0,0.0,0.5949902355942894,1,6.0,0.6468301186354598,10,49.0
85.0,6,16.0,0.2909090909090909,7.697052810898797,0,2.0,0.6711551138640046,0,0.0,1.0,0,2.0,0.5311457894827172,1,5.0,0.44165940824411537,0,10.0,0.6128040867532747,0,5.0,0.6032992819476162,0,2.0,0.31430707398632496,3,13.0,0.19578573386886655,0,2.0,0.7482702171527092,0,2.0,0.6838812809901873,0,0.0,0.8106320163336284,1,10.0,0.35586046457868387,5,53.0
90.0,13,41.0,0.6949152542372882,6.514609740728024,3,10.0,0.23150408187842977,0,0.0,1.0,0,4.0,0.8344103938133783,1,10.0,0.42784857615222666,0,8.0,0.9507421645274969,1,4.0,0.42670640352885914,2,7.0,0.4414527175170034,6,28.0,0.051624049826816974,0,4.0,0.49103416353559204,0,2.0,0.5891961289393555,0,2.0,0.790864824843484,0,2.0,0.3569063096539417,13,81.0
95.0,17,63.0,1.0677966101694916,5.8976358315602555,1,9.0,0.46990267003398,0,0.0,0.96462441641703,0,0.0,0.48942095194673696,1,6.0,0.5251585595275781,0,0.0,1.0,1,7.0,0.4750793612281192,1,2.0,0.34803202030503005,5,43.0,0.3006641636902072,2,10.0,0.2395214349581421,1,3.0,0.48898481429752233,2,4.0,0.15734738324653413,2,9.0,0.35199338297553195,16,93.0
100.0,17,88.0,1.4426229508196722,5.888919863680486,2,11.0,0.3263958915717119,1,1.0,0.0014828711153168856,0,2.0,0.7911987821082416,1,7.0,0.5292374028230223,0,0.0,1.0,2,17.0,0.1086244808623384,2,11.0,0.2271332145025659,0,13.0,0.37384388006825825,5,37.0,0.3988226257657136,1,8.0,0.0,3,16.0,0.31194157257748767,0,6.0,0.5460625605336623,17,129.0
105.0,13,91.0,1.5689655172413792,5.704697391099888,0,3.0,0.43068888040050773,1,6.0,0.2261031933660472,0,4.0,0.43273052552187785,1,1.0,0.6030726190175936,0,4.0,0.5515071808457301,2,23.0,0.451849076277974,0,2.0,0.9030575766656228,2,9.0,0.32779282422656825,5,62.0,0.1497540893644338,0,0.0,0.6894699937054992,0,3.0,0.5857949611952354,1,3.0,0.07410775425521027,12,120.0
110.0,18,119.0,2.125,6.318060488408526,0,1.0,0.5720679692817591,0,0.0,0.9299430938300185,0,4.0,0.9411508887658933,3,9.0,0.23393365639479669,0,4.0,0.9124517812833935,2,5.0,0.31093230846623326,1,1.0,0.0009185355283070605,0,0.0,0.023521227688050803,8,96.0,0.16779525192831177,0,2.0,0.4467757884246645,1,8.0,0.7328837998882676,1,10.0,0.6956895154288413,16,140.0
115.0,13,153.0,2.8867924528301887,6.627218813768088,0,1.0,0.9265418917212579,1,11.0,0.4976162847984117,0,4.0,0.25674161603325946,0,3.0,0.7653486081153795,0,0.0,1.0,2,13.0,0.0,1,8.0,0.6954714666139838,1,4.0,0.46140898504178857,8,144.0,0.25535601428018706,0,4.0,0.7684757047064912,0,0.0,1.0,0,2.0,0.6795179903886037,13,194.0
