step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J10_stopped,J10_accumulated_waiting_time,J10_average_speed,J13_stopped,J13_accumulated_waiting_time,J13_average_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,J4_stopped,J4_accumulated_waiting_time,J4_average_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,J6_stopped,J6_accumulated_waiting_time,J6_average_speed,J7_stopped,J7_accumulated_waiting_time,J7_average_speed,J8_stopped,J8_accumulated_waiting_time,J8_average_speed,J9_stopped,J9_accumulated_waiting_time,J9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,3.9686099969735373,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5010688675548239,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.38980178318975767,1,0.0,0.0,0,0.0,0.2541118820314355,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
10.0,1,0.0,0.0,7.105915171490386,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8901684580766512,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6687771236030448,1,0.0,0.34300445146203745,0,0.0,0.8936546049476993,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
15.0,2,1.0,0.06666666666666667,6.104980601924358,0,0.0,1.0,0,0.0,0.9256156695661611,1,1.0,0.0073546841301396285,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.29487905435528955,0,0.0,0.1484512061736659,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,1.0
20.0,4,16.0,0.8,7.331426109991028,0,0.0,0.8161939434506613,0,0.0,0.9678560550411718,1,6.0,0.0,0,0.0,1.0,0,0.0,0.7808384737411024,0,0.0,0.5799014538186633,0,0.0,0.97853902640404,1,5.0,0.5377305836763104,2,5.0,0.2638007172372641,0,0.0,0.44965256140871085,0,0.0,0.6821484362482673,0,0.0,0.41588289618234275,4,16.0
25.0,2,1.0,0.043478260869565216,8.048089614008429,0,0.0,0.8284210251892506,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4547221521649946,0,0.0,0.7367749297614912,0,0.0,0.8910854612007011,1,0.0,0.30208706472483055,1,3.0,0.24022831569717862,0,0.0,0.6755285348471419,0,0.0,0.94358538676016,0,0.0,0.8217006493342454,0,0.0,0.9070497233018073,2,3.0
30.0,3,9.0,0.3103448275862069,8.490564029540398,0,0.0,0.5452833855547162,1,0.0,0.4691286141317232,0,0.0,1.0,0,0.0,0.9435232081938205,0,0.0,0.7609933943413906,0,0.0,0.7406211306778075,0,2.0,0.7435644169212825,2,9.0,0.4753540548431694,0,0.0,0.6219644701606144,0,0.0,0.5425265048098885,0,0.0,1.0,0,0.0,0.6468799469213719,3,11.0
35.0,2,1.0,0.030303030303030304,7.778958116205769,0,0.0,0.5314309463142497,1,1.0,0.4261386822237038,0,1.0,0.6665328000862858,1,0.0,0.0,0,2.0,0.6672248860065821,0,0.0,0.5496746712956931,0,2.0,0.4575278866210994,0,0.0,0.38913495650479285,0,0.0,0.955972952931593,0,0.0,0.7476301967305526,0,0.0,0.5138528753435075,0,0.0,0.8552707388274788,2,6.0
40.0,7,29.0,0.8285714285714286,7.509456144719491,0,0.0,0.9142979123019389,1,6.0,0.127581124873031,0,1.0,0.5002077106501257,0,0.0,0.5297046011876339,1,4.0,0.6096104870385939,2,7.0,0.39779388145006883,1,7.0,0.35015244060707457,2,9.0,0.501698036723379,0,2.0,0.9355583271214012,0,0.0,1.0,0,0.0,0.6091086741526015,0,0.0,0.8526569858829024,7,36.0
45.0,8,14.0,0.35,6.618421927633859,0,0.0,0.49965187754312756,0,0.0,0.9361150179986796,1,5.0,3.2769599702855135e-05,0,0.0,1.0,1,3.0,0.23737373622160915,1,1.0,0.006494556377301678,0,0.0,0.6031473356495881,3,3.0,0.2273995390978396,0,2.0,0.39590553383340044,0,0.0,1.0,1,3.0,0.3223909005256854,0,0.0,0.5211273722061003,7,17.0
50.0,7,30.0,0.6818181818181818,7.829321701699274,0,0.0,0.5671141009270851,0,2.0,0.9639734010025531,0,0.0,0.9710128028244382,0,3.0,0.4822847380943343,1,10.0,0.6626668581042251,1,8.0,0.655178914353771,1,3.0,0.5771359545235799,2,13.0,0.3384956519239619,1,6.0,0.34704510988852094,1,4.0,0.2923878542831733,0,1.0,0.4021693754062253,0,2.0,0.6133244887573002,7,52.0
