step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J10_stopped,J10_accumulated_waiting_time,J10_average_speed,J13_stopped,J13_accumulated_waiting_time,J13_average_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,J4_stopped,J4_accumulated_waiting_time,J4_average_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,J6_stopped,J6_accumulated_waiting_time,J6_average_speed,J7_stopped,J7_accumulated_waiting_time,J7_average_speed,J8_stopped,J8_accumulated_waiting_time,J8_average_speed,J9_stopped,J9_accumulated_waiting_time,J9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,3.845704276664182,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4858634421660182,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.33854368857633566,1,0.0,0.0,0,0.0,0.29350134297986125,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
10.0,1,0.0,0.0,6.8576198650457325,0,0.0,1.0,0,0.0,1.0,0,0.0,0.942928631952053,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5708711906238928,1,0.0,0.32122806146011046,0,0.0,0.9528780876948504,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
15.0,2,1.0,0.06666666666666667,5.90426482559403,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,1,1.0,0.01886259702557127,0,0.0,0.3597915641473336,0,0.0,0.21296208827010044,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,1.0
20.0,1,0.0,0.0,7.293968026012796,0,0.0,0.6994708000270996,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7656354899445673,0,0.0,0.34085485191654274,0,0.0,0.8329410437756659,0,0.0,0.65450945105983,1,0.0,0.4540322468538787,0,0.0,0.43043894222568063,0,0.0,0.46862053636216205,0,0.0,0.5021523391247983,1,0.0
25.0,2,3.0,0.13043478260869565,7.726949674099375,0,0.0,0.7425587366772746,0,2.0,0.9030900774038154,0,0.0,1.0,0,0.0,0.36743969721551356,0,0.0,0.9039954221384428,0,2.0,0.8116918573305778,1,0.0,0.07670718094493519,1,3.0,0.15504273381235603,0,0.0,0.7105478351333145,0,0.0,0.9901745293697096,0,0.0,0.9043548314808005,0,0.0,0.6190908924637559,2,7.0
30.0,1,0.0,0.0,7.249179108741036,0,0.0,0.6326498674588691,1,0.0,0.4528877697227707,0,0.0,1.0,0,0.0,0.9495210052795823,0,0.0,0.5196388966577209,0,2.0,0.42456112588026246,0,0.0,0.6462224855008596,0,3.0,0.6078527369295396,0,0.0,0.5886154170463075,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6500461004409226,1,5.0
35.0,5,9.0,0.2727272727272727,7.171019833569643,0,0.0,0.5782787861747251,0,0.0,0.39529752998209594,0,0.0,0.931841569516686,1,0.0,0.0,1,2.0,0.6034781299577998,1,6.0,0.7124135656568031,0,2.0,0.5906193832223059,1,1.0,0.19575556092407068,1,3.0,0.37771538080417805,0,0.0,0.9452754380006426,0,0.0,0.522532020521541,0,0.0,0.3848000064069233,5,14.0
40.0,9,29.0,0.7837837837837838,5.5928355062912,1,1.0,0.4788513447096235,0,0.0,0.2511896001385028,0,0.0,1.0,0,0.0,0.8461239923347599,1,2.0,0.42687307076730985,2,12.0,0.16819166337335795,0,2.0,0.37745393142341355,0,0.0,0.5011129793106514,2,12.0,0.4250152842078473,0,0.0,0.2242662229836531,0,0.0,0.5475038256319055,2,4.0,9.40802203968688e-06,8,33.0
45.0,7,18.0,0.43902439024390244,7.01345823937922,0,0.0,0.5839138164895021,0,2.0,0.9191613908554699,0,2.0,0.38746639927584675,0,0.0,0.7903804466510164,1,9.0,0.29642953761912566,0,5.0,0.28152405678787507,2,9.0,0.48985933259261955,2,3.0,0.36989219898429443,0,1.0,0.5890262749853669,1,3.0,0.0001453051399826255,0,0.0,0.5658291039323912,0,0.0,0.7665454954899659,6,34.0
50.0,5,12.0,0.26666666666666666,6.94052865232755,0,2.0,0.8185760093737957,0,2.0,0.10235974638352979,0,2.0,0.980740045613862,0,3.0,0.7530379132884781,0,2.0,0.4789425460690549,0,3.0,0.7391066578090898,1,5.0,0.4035562141250362,1,8.0,0.4947800459542657,1,2.0,0.4770075261006803,1,0.0,0.0,0,2.0,0.5931342885833881,1,4.0,0.673376900282004,5,35.0
